Features,Importance
eeg_kurt_c7min_norm,532188.0
eeg_std_c7min_norm,339202.0
emg_hmob,254022.0
eeg_perm_c7min_norm,234042.0
eeg_dt_c7min_norm,214891.0
emg_hmob_c7min_norm,184450.0
emg_std_c7min_norm,180794.0
emg_std_p2min_norm,137204.0
eeg_std,126734.0
emg_higuchi_c7min_norm,125639.0
eeg_abspow_c7min_norm,116342.0
eeg_iqr_c7min_norm,108119.0
eeg_fdelta_c7min_norm,104868.0
emg_iqr_c7min_norm,85200.0
emg_std,78183.0
eeg_theta_c7min_norm,71230.0
emg_abspow_c7min_norm,71160.0
eeg_std_p2min_norm,63351.0
emg_nzc_c7min_norm,57080.0
emg_abspow_p2min_norm,43431.0
eeg_dt_p2min_norm,41396.0
eeg_petrosian_c7min_norm,39016.0
eeg_abspow,38334.0
emg_petrosian,34578.0
eeg_fdelta_p2min_norm,34299.0
emg_perm,32338.0
emg_iqr,30153.0
emg_hmob_p2min_norm,29686.0
emg_iqr_p2min_norm,29302.0
eeg_perm_p2min_norm,26895.0
eeg_sdelta_c7min_norm,26151.0
emg_abspow,21800.0
eeg_kurt_p2min_norm,19924.0
eeg_petrosian_p2min_norm,19265.0
eeg_db_c7min_norm,17788.0
eeg_sigma_c7min_norm,16790.0
eeg_iqr_p2min_norm,15748.0
eeg_iqr,14907.0
emg_nzc,12913.0
eeg_nzc_c7min_norm,12556.0
emg_hcomp_c7min_norm,11881.0
eeg_at_c7min_norm,8726.0
eeg_kurt,8521.0
eeg_theta_p2min_norm,7753.0
eeg_skew_c7min_norm,6825.0
emg_perm_c7min_norm,6361.0
emg_skew_c7min_norm,6256.0
eeg_nzc_p2min_norm,6249.0
eeg_alpha_c7min_norm,5292.0
emg_higuchi,4956.0
emg_kurt_c7min_norm,4797.0
emg_petrosian_c7min_norm,4634.0
eeg_abspow_p2min_norm,4256.0
emg_hcomp_p2min_norm,3792.0
eeg_hcomp_c7min_norm,3588.0
eeg_hmob_c7min_norm,3579.0
eeg_ds_c7min_norm,3237.0
emg_hcomp,3169.0
eeg_hcomp_p2min_norm,3162.0
eeg_petrosian,2922.0
emg_perm_p2min_norm,2904.0
emg_petrosian_p2min_norm,2788.0
eeg_perm,2759.0
eeg_fdelta,2627.0
eeg_alpha,2593.0
eeg_higuchi_c7min_norm,2548.0
eeg_sdelta_p2min_norm,2279.0
eeg_higuchi_p2min_norm,2190.0
eeg_theta,2168.0
eeg_at_p2min_norm,2023.0
eeg_dt,2020.0
emg_kurt_p2min_norm,1891.0
eeg_beta_c7min_norm,1788.0
eeg_skew_p2min_norm,1748.0
eeg_higuchi,1680.0
eeg_hcomp,1586.0
eeg_alpha_p2min_norm,1529.0
emg_higuchi_p2min_norm,1483.0
eeg_db_p2min_norm,1475.0
emg_skew_p2min_norm,1359.0
eeg_hmob_p2min_norm,1228.0
eeg_ds_p2min_norm,1207.0
emg_kurt,1130.0
emg_nzc_p2min_norm,1122.0
eeg_sigma_p2min_norm,1118.0
eeg_sigma,1100.0
eeg_sdelta,1092.0
eeg_at,992.0
eeg_db,940.0
emg_skew,883.0
eeg_beta,874.0
eeg_beta_p2min_norm,820.0
eeg_skew,710.0
eeg_hmob,669.0
eeg_nzc,634.0
eeg_ds,554.0
