Features,Importance
eeg_perm_c7min_norm,596062.0
eeg_dt_c7min_norm,557651.0
eeg_kurt_c7min_norm,544435.0
eeg_abspow_c7min_norm,282999.0
eeg_std_c7min_norm,176892.0
eeg_std_p2min_norm,123555.0
eeg_iqr_c7min_norm,123477.0
eeg_nzc_c7min_norm,110959.0
eeg_std,103149.0
eeg_sdelta_c7min_norm,101022.0
eeg_dt_p2min_norm,89019.0
eeg_fdelta_c7min_norm,75863.0
eeg_fdelta_p2min_norm,56656.0
eeg_petrosian_c7min_norm,52097.0
eeg_theta_c7min_norm,49253.0
eeg_sigma_c7min_norm,39252.0
eeg_perm_p2min_norm,37897.0
eeg_alpha_c7min_norm,36239.0
eeg_skew_c7min_norm,35591.0
eeg_abspow,33761.0
eeg_at_c7min_norm,32881.0
eeg_petrosian_p2min_norm,32463.0
eeg_db_c7min_norm,31908.0
eeg_higuchi_c7min_norm,28349.0
eeg_iqr_p2min_norm,27677.0
eeg_kurt_p2min_norm,23519.0
eeg_fdelta,20538.0
eeg_iqr,20296.0
eeg_nzc_p2min_norm,18822.0
eeg_kurt,17378.0
eeg_hcomp_c7min_norm,16217.0
eeg_sdelta_p2min_norm,13487.0
eeg_theta_p2min_norm,12861.0
eeg_abspow_p2min_norm,12815.0
eeg_ds_c7min_norm,10852.0
eeg_hmob_c7min_norm,10373.0
eeg_hcomp_p2min_norm,10197.0
eeg_at_p2min_norm,9311.0
eeg_beta_c7min_norm,8921.0
eeg_alpha,8432.0
eeg_db_p2min_norm,7921.0
eeg_higuchi_p2min_norm,7177.0
eeg_skew_p2min_norm,5910.0
eeg_at,5683.0
eeg_petrosian,5459.0
eeg_alpha_p2min_norm,5279.0
eeg_hmob_p2min_norm,5100.0
eeg_sigma_p2min_norm,3955.0
eeg_perm,3934.0
eeg_dt,3900.0
eeg_hcomp,3713.0
eeg_beta_p2min_norm,3693.0
eeg_ds_p2min_norm,3360.0
eeg_higuchi,3205.0
eeg_db,3173.0
eeg_nzc,3100.0
eeg_hmob,2475.0
eeg_sigma,1923.0
eeg_theta,1871.0
eeg_sdelta,1317.0
eeg_skew,1152.0
eeg_beta,1096.0
eeg_ds,808.0
